State of company,Area - km^2,Population - May 2023,GDP - millions 2022,Exports - 2025 - US$ FOB,Imports - 2025 - US$ FOB,Exports - 2024 - US$ FOB,Imports - 2024 - US$ FOB,Exports - 2023 - US$ FOB,Imports - 2023 - US$ FOB,Exports - 2022 - US$ FOB,Imports - 2022 - US$ FOB,Exports - 2021 - US$ FOB,Imports - 2021 - US$ FOB,Exports - 2020 - US$ FOB,Imports - 2020 - US$ FOB,Exports - 2019 - US$ FOB,Imports - 2019 - US$ FOB,Exports - 2018 - US$ FOB,Imports - 2018 - US$ FOB,Exports - 2017 - US$ FOB,Imports - 2017 - US$ FOB,Exports - 2016 - US$ FOB,Imports - 2016 - US$ FOB,Exports - 2015 - US$ FOB,Imports - 2015 - US$ FOB,Exports - 2014 - US$ FOB,Imports - 2014 - US$ FOB,Exports - 2013 - US$ FOB,Imports - 2013 - US$ FOB,Exports - 2012 - US$ FOB,Imports - 2012 - US$ FOB,Exports - 2011 - US$ FOB,Imports - 2011 - US$ FOB,Exports - 2010 - US$ FOB,Imports - 2010 - US$ FOB,Exports - 2009 - US$ FOB,Imports - 2009 - US$ FOB,Exports - 2008 - US$ FOB,Imports - 2008 - US$ FOB,Exports - 2007 - US$ FOB,Imports - 2007 - US$ FOB,Exports - 2006 - US$ FOB,Imports - 2006 - US$ FOB,Exports - 2005 - US$ FOB,Imports - 2005 - US$ FOB,Exports - 2004 - US$ FOB,Imports - 2004 - US$ FOB,Exports - 2003 - US$ FOB,Imports - 2003 - US$ FOB,Exports - 2002 - US$ FOB,Imports - 2002 - US$ FOB,Exports - 2001 - US$ FOB,Imports - 2001 - US$ FOB,Exports - 2000 - US$ FOB,Imports - 2000 - US$ FOB,Exports - 1999 - US$ FOB,Imports - 1999 - US$ FOB,Exports - 1998 - US$ FOB,Imports - 1998 - US$ FOB,Exports - 1997 - US$ FOB,Imports - 1997 - US$ FOB
Mato Grosso,1.5964333740590382,-0.4528795698239784,-0.2885583614353017,0.7162012317426124,-0.4667365620481762,0.6813676504481037,-0.4445310653880838,0.9302487195143336,-0.39078919865560513,1.0207695596714448,-0.2654752774336154,0.6870722433982127,-0.37292126990566704,0.8249593401534622,-0.377204407247499,0.6573876031536358,-0.3857165533156259,0.14333705915025655,-0.4120755766965332,0.31467095767331915,-0.3972031319902091,0.31847818938772565,-0.39654662440012206,0.3806412195492562,-0.41107482837243586,0.25669403969551136,-0.41308429156012444,0.23371713459234883,-0.4164957399917553,0.10290776300444332,-0.4425532450684023,-0.08150419317911681,-0.42763946486094934,-0.11795479664631478,-0.43795094826334335,0.03508959713682176,-0.40527809765680023,-0.187932980641621,-0.39935328746892795,-0.23941828172021123,-0.3982554047239891,-0.22874923255023535,-0.4167596037224918,-0.17194022232674017,-0.38929636514417965,-0.2592563002627581,-0.3613276430417749,-0.2986816751080115,-0.3815231622277326,-0.30055787573076864,-0.3990209993585735,-0.28138895447168244,-0.4029257658715554,-0.33269924774928333,-0.4032931829551363,-0.3824802365776602,-0.3702277867598351,-0.41490365805323937,-0.3733101680789456,-0.34973871009766805,-0.40019516240368086
Mato Grosso do Sul,0.11335260346204763,-0.5415423534165739,-0.38052721524857663,-0.19997847243219574,-0.42395950006129623,-0.26954600816576474,-0.4408070205272403,-0.28515151582817366,-0.4096714601386622,-0.3762872078118605,-0.41847129668599,-0.3988719318814848,-0.4120687941406661,-0.3096705439957875,-0.36735460801596453,-0.3423406354722194,-0.35423381216135996,-0.33676844392425526,-0.319505349922789,-0.36230457677185696,-0.2964370743116429,-0.3486971793758773,-0.2831736493611225,-0.35037070435469836,-0.24014357931650465,-0.3515934023492168,-0.20044897257433578,-0.3623391408015394,-0.18197580482567,-0.42019360338566286,-0.20432579045336083,-0.42329599874644186,-0.2464012572546929,-0.420874474028033,-0.25400830247231193,-0.4287039148582626,-0.2015828493699736,-0.44083780956220087,-0.19809001354851016,-0.454856560819587,-0.23571348530381941,-0.4528710236630954,-0.23286666339921958,-0.4609975838056486,-0.2815721839478452,-0.4575280916358154,-0.29398463637939426,-0.4557879128761135,-0.3273833614011777,-0.4544224270751537,-0.3450954135960394,-0.43743638639644855,-0.3735038386260318,-0.42812407680008757,-0.3888384614907842,-0.4429283066143328,-0.3992555528313017,-0.4341909854016469,-0.3746031671666997,-0.40992043662709904,-0.38417618549429344
Minas Gerais,0.7361428717238563,1.5543392012560253,0.8702491966119622,1.534185610602336,0.4289355743426905,1.4061500461142635,0.4632384741008945,1.2885691103954184,0.45080277541240166,1.3879090813385278,0.4603954650156745,1.6876013126021694,0.36697733208962846,1.5089330238105172,0.22715071504893056,1.2791013554302675,0.19059408971120242,1.1123893394712627,0.19167459875471815,1.3844978785582327,0.1434110824137143,1.3763150931859394,0.14834312140522096,1.4232881097434729,0.20284064853502665,1.6650333997146676,0.15521035788357027,1.6671102338882184,0.2014508425869975,1.593772456818101,0.25181369537189646,1.9661678797520379,0.29282098949088287,1.7694855756963601,0.2465036192653174,1.2863692782502685,0.2697361983847076,1.2480989989823326,0.31456365157278915,1.0471158609012934,0.21874797074254748,0.9938926990434759,0.21071108435155483,1.0161048287987815,0.20789439364552303,0.8678373613379492,0.13224134037306812,0.8176562848564561,0.1638141410025838,0.7398060290911201,0.19918190119628798,0.6727744416755229,0.20128412555133565,0.891462253039671,0.14880905794927626,1.153807758169643,0.2828519977838968,1.3033702724456786,0.3301397293540983,1.3147582205037072,0.2908909855891084
Pará,2.532046323531279,0.11450535725687391,-0.2517708199099917,0.563573912372229,-0.42095928411542066,0.6096445595297202,-0.48896782696674146,0.5569160166176914,-0.48098676318793493,0.5209178681417397,-0.453539475687659,1.3231602710545876,-0.4897610887981243,1.1553369805813958,-0.43344271933846523,0.8004731291523987,-0.4487663199573544,0.515810567909789,-0.4442299256318968,0.518726014773168,-0.4358212697316385,0.34683846031722015,-0.40406571868470464,0.30680505287404036,-0.44301189147996256,0.4858071587940324,-0.4635332219284363,0.5397212626762553,-0.4526428025031411,0.41656755616485486,-0.4590460851306078,0.5908948499785,-0.44393760539109034,0.5034450093505719,-0.42561767606273554,0.2794477427831728,-0.4058064323809892,0.23780788307178644,-0.4200655738422471,0.1704337226012014,-0.4125113875642362,0.14423541288188457,-0.3840244287934006,0.02362221006324661,-0.3924204598930854,0.02170737841123221,-0.39295302001271065,-0.015074135686409995,-0.3799658719728689,-0.001719876438547839,-0.3891469903806329,0.016482080630128296,-0.3763426030013568,0.08039289026470288,-0.36590215071348225,0.08366618813755575,-0.37017549723524945,0.012367996277558609,-0.356304465329354,-0.06775217002527696,-0.3676139750157959
Paraíba,-0.7030566487438046,-0.394023591482517,-0.5040282475121173,-0.6909065935651781,-0.5071754839340886,-0.6829582014932745,-0.527135650993151,-0.6906417079423858,-0.5383847952902245,-0.6930361198344938,-0.558827700298087,-0.7132160554604475,-0.5573416707884844,-0.7064217391393891,-0.49854038410255574,-0.685646589376461,-0.5010573719903089,-0.6189191900539058,-0.49520189340327186,-0.6366611465859272,-0.4869749273795149,-0.6033685450211819,-0.48499335114242614,-0.6329443225348164,-0.47470903655398605,-0.6426132918602011,-0.48354692625484763,-0.6235250363780411,-0.48047600339141994,-0.6129479878190539,-0.5103998270928978,-0.614590630650615,-0.4653273784028934,-0.5856161236614331,-0.46117338340911884,-0.5655616492742743,-0.443101978053859,-0.5431371460280394,-0.4680282675058749,-0.5049964071084962,-0.4485125085154833,-0.4897136062546264,-0.45074274496271655,-0.5021529858459033,-0.445060675956698,-0.48351977072049857,-0.4266533616750468,-0.4769683540953648,-0.4399171797255651,-0.47029245274635667,-0.43456606736870695,-0.44909727988811704,-0.4160399817439033,-0.4560132093173951,-0.3917889483104775,-0.4690101040739746,-0.3821621561576554,-0.4809621376479157,-0.3762496899301643,-0.49145468968011347,-0.3695453082936854
Paraná,-0.31520687496449135,0.4543700771582289,0.43405406138328695,0.8331027275273684,0.5581763197574716,0.7639983086882842,0.6273159831351596,0.9168148118621274,0.6360445754867582,0.7905140687082622,0.7586881272508146,0.7523228659773467,0.6581068931082635,0.9174151059218498,0.5667301735815087,0.8504995687794596,0.6074967385788376,0.5971833565528969,0.5777458604828167,0.9281576086753831,0.6159328573580066,0.8808410549264064,0.6155315858590823,0.8871519634504107,0.5040980914924236,0.7662716587294167,0.5458282247819511,0.7926845325138256,0.6155439259460127,0.7679408962745549,0.7462223860853938,0.6765358156764036,0.6579296603781214,0.6777837231159746,0.5508822589482426,0.7162648092680162,0.5052758506941128,0.6773359711371545,0.6386425682068201,0.6416571049703588,0.49489282720915856,0.5353572460293461,0.3670286748253281,0.6737436498381122,0.3061762341043843,0.832236942222866,0.32739851227041183,0.7205382623563854,0.4344284647889944,0.6501760202917231,0.4152137910070876,0.6684782392388938,0.6098706037195072,0.5488147759376423,0.535002882513165,0.5499488354220864,0.42457110031438394,0.5910638951119918,0.36823975923697155,0.6575325831522696,0.21420879048437552
Pernambuco,-0.589872558866952,0.229077315366254,-0.1335251507214954,-0.5551402400058659,-0.13737762292475844,-0.5739024112432364,-0.14607401352324612,-0.5784104369025824,-0.12493993352198995,-0.5332439668822567,-0.1379150267236209,-0.5568973325365182,-0.1107073925103891,-0.5379944512869202,-0.1363201344412555,-0.5110406094086151,-0.04892914772872554,-0.44132601266761534,0.006345840725962949,-0.4781855482989638,-0.010885608456430837,-0.4760210053149035,-0.06531693579787674,-0.5404957106004874,-0.1045148347811271,-0.572952661555468,-0.07111601224217197,-0.5754297872216382,-0.1195979666550236,-0.5674078773111929,-0.11031404152442334,-0.5506211930370741,-0.1782629255056227,-0.5164107128273066,-0.2635424960097914,-0.5000872438546305,-0.2836737105335513,-0.4839890526792158,-0.30635706916036787,-0.4456827513407286,-0.29575222537511686,-0.4370477218619373,-0.33124692379892956,-0.4426091790337084,-0.3245266659762485,-0.4426785279023475,-0.30345799897133546,-0.4231031769666428,-0.2717757911579616,-0.42692427938888355,-0.24567530430015788,-0.4059856664819609,-0.21982136839170976,-0.40615722457750686,-0.227467188419349,-0.4148984601955898,-0.2382788451594115,-0.4127378180766211,-0.2227105283120527,-0.4309478303183859,-0.2384380897864876
Piauí,-0.17328197270325263,-0.4890236702190235,-0.5933694197878701,-0.6707652860463393,-0.5504916022083007,-0.6349066327595744,-0.6018192232222577,-0.6301954668718664,-0.5756255374442599,-0.6264810940646903,-0.6071252077239655,-0.6781801342576119,-0.5657650538566276,-0.6720501298950384,-0.5177424998179057,-0.6600747057329942,-0.5238197523421494,-0.6072737965660989,-0.5275477124962233,-0.6223578343269149,-0.49219561681970675,-0.6030366676715069,-0.507325539454703,-0.6163404243305296,-0.5121817630565572,-0.6439498792972752,-0.508645792571327,-0.6318239721663194,-0.5063760344481099,-0.6210105759750019,-0.5388425615800463,-0.6239617295196914,-0.5189094957445528,-0.5966849549424921,-0.49868914143631465,-0.5705841296122761,-0.48061501354134245,-0.5543317919977228,-0.4932082495168788,-0.5225273262394297,-0.47673552887234844,-0.5076227925775152,-0.4708213237439347,-0.5220098470839024,-0.4584707526774042,-0.5034578984990296,-0.442352848420818,-0.500403083059524,-0.4525401286435706,-0.48898356299428586,-0.4517612022744328,-0.46480235617235105,-0.4310785037330998,-0.4623180281892491,-0.4190130069258137,-0.4728565830943612,-0.40817936138106853,-0.4826652384238369,-0.40095748918782964,-0.4991531728845669,-0.40182306537924617
Rio de Janeiro,-0.7375146816979256,0.9592398140645736,1.1592941657393978,2.216164802458223,1.0254933899047731,2.2200405920857276,1.1579563140938638,2.0785335098753808,1.1622902602862648,2.034614715703458,0.9404601851478088,1.873996827025557,1.0613919737932538,1.4709533456246695,1.1832696313678734,1.835396058237287,1.0917359648098328,1.6611205471138923,1.045605133306594,1.1633191950578512,0.6918026676489095,0.8952721337823886,0.7545152263166085,0.9293909577778542,0.8901616501986455,1.1963059051701228,0.8142884864604243,1.060588489216613,0.7436881871773253,1.5061417806080084,0.8418124268220755,1.4125838362448169,0.8149143556087156,1.1755393899125355,0.9364075865131049,1.0585964273650539,0.9298196201684787,0.8838083326791885,0.8959568169574131,0.7793731536379946,0.8045251420140795,0.6871754738255529,0.8404716433205245,0.5511036661047485,0.987152017062393,0.3157491825522027,0.9900782224411402,0.31435957926599783,0.9856766674641754,0.44075550941958097,1.1330839574644382,0.24801840129897268,0.8630362255274984,0.1549263716760339,0.6048889718334736,0.19527655156481796,0.5909214065330608,0.3412560829876162,0.5134609978630623,0.4665396864698596,0.5614241301827547
Rio Grande do Norte,-0.7129721235326434,-0.45732557542257724,-0.46198534291176296,-0.6347260856578022,-0.5486561923075958,-0.6298706256916679,-0.5816107049540714,-0.6664710229255578,-0.5650599468436976,-0.6867159336902864,-0.5955687130194143,-0.7046234676952509,-0.5797234100511611,-0.6908121851229553,-0.5289107343566135,-0.6647141127370475,-0.5334134831913332,-0.6093020007902312,-0.5251546979781899,-0.6246563112453393,-0.507572084671755,-0.5906410418821088,-0.49801035764042867,-0.6203952664847511,-0.5009842159180411,-0.6381845172519377,-0.5044645705295522,-0.6195210720713016,-0.5023721160540873,-0.61102634980839,-0.5354907477943598,-0.6103385662786192,-0.513502324818737,-0.5812764018682844,-0.48897406791125775,-0.5565416496020593,-0.47227715057245545,-0.5352367841369057,-0.4826423261708512,-0.49529552308055463,-0.46503429315636585,-0.4742874487465739,-0.45458695471154714,-0.4779563048010124,-0.44196801984265077,-0.42354505204964354,-0.4187140606063004,-0.44940395638766084,-0.4120790684083347,-0.44925225550421977,-0.4245951512712635,-0.43357231603746976,-0.41605686556455246,-0.4403494099860211,-0.40862121106152244,-0.45742158354026874,-0.395197391989074,-0.4777692908332704,-0.3898149290898581,-0.4972076933608172,-0.3855947231022739
